"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"3","org.apache.syncope.core.provisioning.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultConnIdBundleManager.java","3","123","Position literals first in String comparisons","Best Practices","LiteralsFirstInComparisons"
"4","org.apache.syncope.core.provisioning.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultConnIdBundleManager.java","1","147","Return an empty collection rather than null.","Error Prone","ReturnEmptyCollectionRatherThanNull"
"5","org.apache.syncope.core.provisioning.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultConnIdBundleManager.java","2","153","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"6","org.apache.syncope.core.provisioning.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultConnIdBundleManager.java","2","223","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.provisioning.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultConnectorManager.java","2","115","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","org.apache.syncope.core.provisioning.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultConnectorManager.java","2","217","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","org.apache.syncope.core.provisioning.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultConnectorManager.java","2","223","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","org.apache.syncope.core.provisioning.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultConnectorManager.java","2","237","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.provisioning.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\DefaultUserProvisioningManager.java","2","166","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.provisioning.java.data","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\data\AccessTokenDataBinderImpl.java","3","103","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"2","org.apache.syncope.core.provisioning.java.data","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\data\AccessTokenDataBinderImpl.java","3","184","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"1","org.apache.syncope.core.provisioning.java.data","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\data\GroupDataBinderImpl.java","2","201","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","org.apache.syncope.core.provisioning.java.data","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\data\GroupDataBinderImpl.java","2","215","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.provisioning.java.data","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\data\NotificationDataBinderImpl.java","3","172","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"1","org.apache.syncope.core.provisioning.java.data","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\data\RealmDataBinderImpl.java","2","232","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.provisioning.java.data","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\data\UserDataBinderImpl.java","2","232","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","122","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","154","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","233","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","310","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"5","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","323","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"6","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","333","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"7","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","344","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"8","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","367","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"9","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","369","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"10","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","384","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"11","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","389","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"12","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","403","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"13","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","419","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"14","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","425","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"15","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","431","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"16","org.apache.syncope.core.provisioning.java.job","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\DefaultJobManager.java","2","436","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.provisioning.java.job.notification","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\notification\AbstractNotificationJobDelegate.java","2","117","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","org.apache.syncope.core.provisioning.java.job.notification","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\notification\AbstractNotificationJobDelegate.java","2","191","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","org.apache.syncope.core.provisioning.java.job.notification","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\notification\AbstractNotificationJobDelegate.java","2","193","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","org.apache.syncope.core.provisioning.java.job.notification","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\job\notification\AbstractNotificationJobDelegate.java","2","221","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\InboundMatcher.java","3","180","Avoid catching Throwable in try-catch block","Error Prone","AvoidCatchingGenericException"
"2","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\InboundMatcher.java","2","187","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"3","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\InboundMatcher.java","2","191","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"4","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\InboundMatcher.java","2","207","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"5","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\InboundMatcher.java","2","210","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"6","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\InboundMatcher.java","2","216","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"7","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\InboundMatcher.java","2","256","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"8","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\InboundMatcher.java","3","349","Avoid catching Throwable in try-catch block","Error Prone","AvoidCatchingGenericException"
"9","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\InboundMatcher.java","2","350","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"10","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\InboundMatcher.java","2","430","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"11","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\InboundMatcher.java","2","474","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\LDAPMembershipPullActions.java","3","152","Lambda expression could be written as a method reference: `List::of`","Code Style","LambdaCanBeMethodReference"
"2","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\LDAPMembershipPullActions.java","2","230","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\OutboundMatcher.java","2","150","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\OutboundMatcher.java","2","213","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\PushResultHandlerDispatcher.java","2","67","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","org.apache.syncope.core.provisioning.java.pushpull","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\provisioning-java\src\main\java\org\apache\syncope\core\provisioning\java\pushpull\PushResultHandlerDispatcher.java","2","91","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.spring.security","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\spring\src\main\java\org\apache\syncope\core\spring\security\DefaultEncryptor.java","2","81","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"2","org.apache.syncope.core.spring.security","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\spring\src\main\java\org\apache\syncope\core\spring\security\DefaultEncryptor.java","2","91","Logger calls should be surrounded by log level guards.","Best Practices","GuardLogStatement"
"1","org.apache.syncope.core.workflow.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\workflow-java\src\main\java\org\apache\syncope\core\workflow\java\AbstractUserWorkflowAdapter.java","3","168","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
"2","org.apache.syncope.core.workflow.java","C:\Users\Valen\Desktop\Progetto_ISW2\pmd-work-m4\worktree-release-81\core\workflow-java\src\main\java\org\apache\syncope\core\workflow\java\AbstractUserWorkflowAdapter.java","3","222","Thrown exception does not preserve the stack trace of exception 'e' on all code paths","Best Practices","PreserveStackTrace"
